genus
Abathymermis
Achromadora
Acrobeles
Acrobeloides
Acrolobus
Acrostichus
Actinca
Aglenchus
Akrotonus
Alaimus
Alirhabditis
Allodorylaimus
Amphidelus
Anaplectus
Anguina
Anomyctus
Anoplostoma
Aorolaimus
Aphanolaimus
Aphelenchoides
Aphelenchus
Apoleptonchus
Aporcelaimellus
Aporcelaimium
Aporcelaimus
Aprutides
Aquatides
Ascolaimus
Aulolaimoides
Aulolaimus
Axonchium
Axonolaimus
Bakernema
Basiria
Bastiania
Bathylaimus
Bathyodontus
Belondira
Belonolaimus
Boleodorus
Boreolaimus
Bunonema
Bursaphelenchus
Cactodera
Californidorus
Calodorylaimus
Campydora
Capilonchus
Carcharolaimus
Cephalobus
Cervidellus
Chiloplacus
Chiloplectus
Chronogaster
Chrysonema
Clarkus
Clavicaudoides
Cobbonchus
Coomansinema
Coslenchus
Criconema
Criconemoides
Crocodorylaimus
Crossonema
Cruznema
Cylindrolaimus
Dactyluraxonchium
Desmolaimus
Desmoscolex
Diphtherophora
Diplogasteriana
Diplogasteritus
Diplolaimella
Diplolaimelloides
Diploscapter
Discocriconemella
Discolaimium
Discolaimoides
Discolaimus
Ditylenchus
Dolichodorus
Dorydorella
Dorylaimellus
Dorylaimoides
Dorylaimus
Doryllium
Dracunculus
Drepanodorylaimus
Ecumenicus
Enchodelus
Enterobius
Epidorylaimus
Epitobrilus
Epsilonema
Ethmolaimus
Eucephalobus
Eudorylaimus
Eumonhystera
Fictor
Filenchus
Funaria
Geocenamus
Geomonhystera
Globodera
Gracilacus
Haliplectus
Helicotylenchus
Hemicaloosia
Hemicriconemoides
Hemicycliophora
Heterocephalobellus
Heterocephalobus
Heterodera
Heterorhabditis
Hexamermis
Hirschmanniella
Hoplolaimus
Howardula
Hydromermis
Iotonchus
Ironus
Isolaimium
Isomermis
Labronema
Labronemella
Laevides
Lagochilascaris
Laimaphelenchus
Laimydorus
Lelenchus
Leptolaimus
Leptonchus
Lobocriconema
Loncharionema
Longidorella
Longidorus
Lordellonema
Macroposthonia
Malenchus
Meloidogyne
Merlinius
Mermis
Mesocriconema
Mesodorylaimus
Mesorhabditis
Metateratocephalus
Miconchus
Microdorylaimus
Monhystera
Mononchoides
Mononchus
Mylonchulus
Nacobbus
Nagelus
Neoactinolaimus
Neodolichorhynchus
Neolobocriconema
Neopsilenchus
Nothocriconemoides
Nothotylenchus
Nygolaimellus
Nygolaimus
Odontolaimus
Odontophora
Ogma
Onchocerca
Oriverutus
Oxydirus
Panagrolaimus
Paractinolaimus
Paracyatholaimus
Paraphelenchus
Paraplectonema
Paratrichodorus
Paratrophurus
Paratylenchus
Paravulvus
Paraxonchium
Pellioditis
Plectus
Polenchus
Pratylenchus
Prionchulus
Prismatolaimus
Pristionchus
Prodontorhabditis
Prodorylaimus
Protorhabditis
Pseudodiplogasteroides
Pseudoterranova
Psilenchus
Punctodera
Pungentus
Quinisulcius
Rhabditella
Rhabditis
Rhabditoides
Rhabditonema
Rhabdolaimus
Romanomermis
Rotylenchulus
Rotylenchus
Sakia
Sauertylenchus
Sclerolaimus
Sectonema
Seinura
Solididens
Some
Sporonchulus
Steinernema
Subanguina
Sychnotylenchus
Syncheilaxonchium
Syphacia
Takamangai
Teratocephalus
Teratorhabditis
Theristus
Thonus
Thorneella
Thornenema
Thornia
Toxascaris
Toxocara
Trachypleurosum
Trichodorus
Tripyla
Trophomermis
Trophotylenchulus
Trophurus
Tylenchocriconema
Tylencholaimellus
Tylencholaimus
Tylenchorhynchus
Tylenchus
Tyleptus
Tylocephalus
Tylopharynx
Willinema
Wilsonema
Xenocriconemella
Xiphinema
